i              xi               yi                 ximas1          yimas1               eps_ax          eps_ay
  1    -0.700000000000     1.500000000000    -0.714761141349     1.510665597888     2.065185205881     0.706019777166
  2    -0.714761141349     1.510665597888    -0.714621070348     1.510683254566     0.019600737488     0.001168787576
  3    -0.714621070348     1.510683254566    -0.714621057779     1.510683256222     0.000001758862     0.000000109583
  4    -0.714621057779     1.510683256222    -0.714621057779     1.510683256222     0.000000000000     0.000000000000
